palavra,n_vogais,vogais_unicas,letra_0,letra_1,letra_2,letra_3,letra_4,probabilidade,n_consoantes,consoantes_unicas,n_letras_diferentes
aarao,4,2,a,a,r,a,o,0.0,1,1,3
abner,2,2,a,b,n,e,r,0.0,3,3,5
acaia,4,2,a,c,a,i,a,0.0,1,1,3
acker,2,2,a,c,k,e,r,0.0,3,3,5
aires,3,3,a,i,r,e,s,3.738946738703707e-05,2,2,5
alair,3,2,a,l,a,i,r,0.0,2,2,4
alceu,3,3,a,l,c,e,u,0.0,2,2,5
algol,2,2,a,l,g,o,l,0.0,3,2,4
aline,3,3,a,l,i,n,e,0.0,2,2,5
alpes,2,2,a,l,p,e,s,0.0,3,3,5
amapa,3,1,a,m,a,p,a,0.0,2,2,3
andre,2,2,a,n,d,r,e,5.608420108055561e-05,3,3,5
argel,2,2,a,r,g,e,l,0.0001121684021611,3,3,5
argos,2,2,a,r,g,o,s,1.869473369351853e-05,3,3,5
artur,2,2,a,r,t,u,r,0.0002430315380157,3,2,4
aecio,4,4,a,e,c,i,o,0.0,1,1,5
babel,2,2,b,a,b,e,l,0.0,3,2,4
bagda,2,1,b,a,g,d,a,0.0,3,3,4
bangu,2,2,b,a,n,g,u,0.0,3,3,5
belem,2,1,b,e,l,e,m,0.0,3,3,4
bento,2,2,b,e,n,t,o,5.608420108055561e-05,3,3,5
berna,2,2,b,e,r,n,a,0.0,3,3,5
berta,2,2,b,e,r,t,a,0.0,3,3,5
bielo,3,3,b,i,e,l,o,0.0,2,2,5
borba,2,2,b,o,r,b,a,0.0,3,2,4
bruno,2,2,b,r,u,n,o,0.0,3,3,5
carla,2,1,c,a,r,l,a,0.0,3,3,4
ceara,3,2,c,e,a,r,a,0.0003178104727898,2,2,4
chica,2,2,c,h,i,c,a,0.0,3,2,4
chico,2,2,c,h,i,c,o,1.869473369351853e-05,3,2,4
chile,2,2,c,h,i,l,e,0.0,3,3,5
china,2,2,c,h,i,n,a,0.0,3,3,5
couto,3,2,c,o,u,t,o,1.869473369351853e-05,2,2,4
catia,3,2,c,a,t,i,a,0.0,2,2,4
cesar,2,2,c,e,s,a,r,0.0009721261520629,3,3,5
dafne,2,2,d,a,f,n,e,0.0,3,3,5
darci,2,2,d,a,r,c,i,0.0,3,3,5
dario,3,3,d,a,r,i,o,0.0,2,2,5
david,2,2,d,a,v,i,d,0.0,3,2,4
denis,2,2,d,e,n,i,s,0.0,3,3,5
diana,3,2,d,i,a,n,a,9.347366846759269e-05,2,2,4
dacia,3,2,d,a,c,i,a,0.0,2,2,4
edgar,2,2,e,d,g,a,r,0.0,3,3,5
edite,3,2,e,d,i,t,e,0.0,2,2,4
egito,3,3,e,g,i,t,o,0.0001121684021611,2,2,5
elias,3,3,e,l,i,a,s,0.0,2,2,5
elisa,3,3,e,l,i,s,a,0.0,2,2,5
elixa,3,3,e,l,i,x,a,0.0,2,2,5
emaus,3,3,e,m,a,u,s,0.0,2,2,5
esopo,3,2,e,s,o,p,o,0.0,2,2,4
ester,2,1,e,s,t,e,r,0.0,3,3,4
euler,3,2,e,u,l,e,r,0.0,2,2,4
filho,2,2,f,i,l,h,o,0.0033463573311398,3,3,5
fabio,3,3,f,a,b,i,o,0.0,2,2,5
gales,2,2,g,a,l,e,s,0.0003178104727898,3,3,5
gauss,2,2,g,a,u,s,s,0.0,3,2,4
goias,3,3,g,o,i,a,s,0.0001682526032416,2,2,5
golfo,2,1,g,o,l,f,o,0.0,3,3,4
hegel,2,1,h,e,g,e,l,5.608420108055561e-05,3,3,4
intel,2,2,i,n,t,e,l,0.0,3,3,5
jaime,3,3,j,a,i,m,e,0.0,2,2,5
japao,3,2,j,a,p,a,o,0.0,2,2,4
jesus,2,2,j,e,s,u,s,0.0004673683423379,3,2,4
jorge,2,2,j,o,r,g,e,0.0005982314781925,3,3,5
kazuo,3,3,k,a,z,u,o,0.0,2,2,5
kioto,3,2,k,i,o,t,o,0.0,2,2,4
klein,2,2,k,l,e,i,n,0.0,3,3,5
labma,2,1,l,a,b,m,a,0.0,3,3,4
lages,2,2,l,a,g,e,s,0.0,3,3,5
laura,3,2,l,a,u,r,a,0.0,2,2,4
lauro,3,3,l,a,u,r,o,0.0,2,2,5
lenin,2,2,l,e,n,i,n,0.0,3,2,4
linda,2,2,l,i,n,d,a,0.0002804210054027,3,3,5
linus,2,2,l,i,n,u,s,0.0,3,3,5
linux,2,2,l,i,n,u,x,0.0,3,3,5
lucio,3,3,l,u,c,i,o,0.0,2,2,5
malba,2,1,m,a,l,b,a,0.0,3,3,4
marco,2,2,m,a,r,c,o,0.0002804210054027,3,3,5
maria,3,2,m,a,r,i,a,0.0006169262118861,2,2,4
marta,2,1,m,a,r,t,a,1.869473369351853e-05,3,3,4
marte,2,2,m,a,r,t,e,0.0001308631358546,3,3,5
mauro,3,3,m,a,u,r,o,0.0,2,2,5
miami,3,2,m,i,a,m,i,0.0,2,1,3
minas,2,2,m,i,n,a,s,0.0006543156792731,3,3,5
morse,2,2,m,o,r,s,e,0.0,3,3,5
mario,3,3,m,a,r,i,o,0.0001869473369351,2,2,5
media,3,3,m,e,d,i,a,0.0002243368043222,2,2,5
natal,2,1,n,a,t,a,l,0.0001121684021611,3,3,4
neusa,3,3,n,e,u,s,a,0.0,2,2,5
nobel,2,2,n,o,b,e,l,0.0,3,3,5
norte,2,2,n,o,r,t,e,0.0034211362659138,3,3,5
paris,2,2,p,a,r,i,s,0.0001121684021611,3,3,5
paula,3,2,p,a,u,l,a,3.738946738703707e-05,2,2,4
paulo,3,3,p,a,u,l,o,0.0008038735488212,2,2,5
peano,3,3,p,e,a,n,o,0.0,2,2,5
pedro,2,2,p,e,d,r,o,0.0019068628367388,3,3,5
piaui,4,3,p,i,a,u,i,0.0002243368043222,1,1,4
porto,2,1,p,o,r,t,o,0.0001495578695481,3,3,4
